泛微-旧版,,,汉德-初版,,汉德-终版,,,,,,,,,,,,,,,,
原一级分类,原二级分类,原三级分类,一级分类（初版）,二级分类（初版）,一级分类（终版）,二级分类（终版）,二级描述,备注,,,,,,,,,,,,,
行政类,行政及办公,物业服务,行政及办公-AD,物业服务-PRO,行政及办公类-AD,物业服务-PRO,物业管理费,,,,,,,,,,,,,,
行政类,行政及办公,空调系统,行政及办公-AD,楼宇设备及维护-BME,行政及办公类-AD,楼宇设备及维护-BME,空调设备、消防设备、电梯设备等维护及维修,,,,,,,,,,,,,,
行政类,行政及办公,装修服务,行政及办公-AD,装修及改造服务-REN,行政及办公类-AD,装修及改造服务-REN,办公室设计、装修、造价、审图、监理、空气治理、办公室搬迁、办公室软装、弱电工程,,,,,,,,,,,,,,
行政类,行政及办公,办公用品,行政及办公-AD,办公用品-SUP,行政及办公类-AD,办公用品-SUP,办公文具、日常低值易耗品……,,,,,,,,,,,,,,
行政类,行政及办公,办公软件,IT类-IT,办公软件版权-SWL,行政及办公类-AD,办公软件版权-SWL,windows、office、adobe等日常办公所需的软件采购,,,,,,,,,,,,,,
行政类,行政及办公,行政差旅,行政及办公-AD,行政差旅-ADT,行政及办公类-AD,差旅服务-TRA,酒店、机票、火车票、用车等差旅相关服务,,,,,,,,,,,,,,
行政类,行政及办公,快递物流,行政及办公-AD,快递物流-LOG,赛事节目类-SP,快递及运输服务-EXP,快递、物流等运输服务,,,,,,,,,,,,,,
行政类,行政及办公,餐饮服务及设备,行政及办公-AD,餐饮服务及设备-FNB,行政及办公类-AD,餐饮服务及设备-FNB,食堂相关餐饮服务及厨房设备……,,,,,,,,,,,,,,
行政类,行政及办公,网络及通信,IT类-IT,网络及线路-NET,行政及办公类-AD,办公网络及通讯-NET,宽带、专线、VPN、电话线路等,,,,,,,,,,,,,,
行政类,行政及办公,服装定制,其他分类-OT,礼品及制作物-OGM,其他服务类-OT,礼品采买-GIF,礼品采买、礼品定制等,,,,,,,,,,,,,,
行政类,行政及办公,IT设备,IT类-IT,硬件设备及耗材-HWR,行政及办公类-AD,办公设备采购及维修-HWR,电脑、显示器、键鼠、线材、硬盘、相关耗材等日常办公所需的办公设备采购及维修,,,,,,,,,,,,,,
行政类,行政及办公,会议及设计设备,IT类-IT,硬件设备及耗材-HWR,行政及办公类-AD,办公设备采购及维修-HWR,电脑、显示器、键鼠、线材、硬盘、相关耗材等日常办公所需的办公设备采购及维修,,,,,,,,,,,,,,
行政类,行政及办公,家具及电器,行政及办公-AD,办公家具及电器-OFE,行政及办公类-AD,办公家具和电器采购及维修-OFE,办公家具、办公电器及相关办公设备的采购及维修,,,,,,,,,,,,,,
行政类,行政及办公,车辆(非会所),行政及办公-AD,车辆（非会所）-VEH,行政及办公类-AD,日常运营车辆采购及维修-VEH,办公车辆采购、办公车辆油费、办公车辆维修费等,,,,,,,,,,,,,,
行政类,行政及办公,礼品采买,其他分类-OT,礼品及制作物-OGM,其他服务类-OT,礼品采买-GIF,礼品采买、礼品定制等,,,,,,,,,,,,,,
行政类,行政及办公,水电气,行政及办公-AD,水电及能耗-UTI,行政及办公类-AD,房屋水电及能耗-UTI,水、电、煤、能耗……,,,,,,,,,,,,,,
行政类,行政及办公,房屋租赁,行政及办公-AD,房屋租赁-OFR,行政及办公类-AD,房屋租赁-OFR,房租,,,,,,,,,,,,,,
行政类,行政及办公,其他能耗,行政及办公-AD,水电及能耗-UTI,行政及办公类-AD,房屋水电及能耗-UTI,水、电、煤、能耗……,,,,,,,,,,,,,,
业务类,专业服务,咨询服务,专业服务类-PS,咨询服务-CON,专业服务类-PS,专业服务-PRS,翻译服务、审计服务、咨询服务、代理公司服务等相关专业服务,,,,,,,,,,,,,,
业务类,专业服务,人事服务,人事类-HR,,人事服务类-HR,其他人事服务-OTH,其他人事相关服务,,,,,,,,,,,,,,
业务类,专业服务,审计服务,专业服务类-PS,审计服务-AUD,专业服务类-PS,专业服务-PRS,翻译服务、审计服务、咨询服务、代理公司服务等相关专业服务,,,,,,,,,,,,,,
业务类,赛事节目类,活动报批,赛事节目类-SP,活动场地及保障服务-EPS,赛事节目类-SP,活动报批相关保障服务-APP,活动报批、消防电力检查、结构检测及相关,,,,,,,,,,,,,,
业务类,赛事节目类,舞美搭建,赛事节目类-SP,舞美搭建-SMC,赛事节目类-SP,舞美搭建-SMC,内外场硬体搭建、AVL设备租赁,,,,,,,,,,,,,,
业务类,赛事节目类,直转播系统及网络,赛事节目类-SP,广电网络设备/技术/系统及相关服务-BMS,赛事节目类-SP,广电/网络/其他设备采购及维修-EQP,摄像设备、视频设备、音频设备、通话设备、网络设备、周边设备、ALV设备等其他相关设备采购及维修,原分类无法区分是采购还是租赁,,,,,,,,,,,,,
业务类,赛事节目类,IT设备,赛事节目类-SP,广电网络设备/技术/系统及相关服务-BMS,赛事节目类-SP,广电/网络/其他设备采购及维修-EQP,摄像设备、视频设备、音频设备、通话设备、网络设备、周边设备、ALV设备等其他相关设备采购及维修,原分类无法区分是采购还是租赁,,,,,,,,,,,,,
业务类,赛事节目类,网络及通信,赛事节目类-SP,广电网络设备/技术/系统及相关服务-BMS,赛事节目类-SP,场馆网络及通讯-VNW,场馆宽带、专线、电话线路等,,,,,,,,,,,,,,
业务类,赛事节目类,运营及物料制作,赛事节目类-SP,运营及物料制作-OPS,赛事节目类-SP,运营及物料制作-OPS,印刷物料、伴手礼、奖杯、服装等实物制作,,,,,,,,,,,,,,
业务类,赛事节目类,公关市场宣传,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,公关及舆情监测服务-PPR,公关、舆情管理、舆情监测,,,,,,,,,,,,,,
业务类,赛事节目类,广告投放媒介资源费用,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,赛事节目类,第三方人员服务,赛事节目类-SP,第三方人员服务-TPS,赛事节目类-SP,第三方人员服务-TPS,妆造人员及相关服务、志愿者、项目及产品兼职、灯光音响大屏工程技术人员（含相关设计）、coser、演艺人员、平面纪实（含后期）、视频纪实（含后期）、讯道摄像、节目摄像等、KOL、声优/配音人员、广电技术、网络技术人员等相关人员,,,,,,,,,,,,,,
业务类,赛事节目类,项目差旅,赛事节目类-SP,项目后勤保障-PLS,行政及办公类-AD,差旅服务-TRA,酒店、机票、火车票、用车等差旅相关服务,,,,,,,,,,,,,,
业务类,赛事节目类,内容制作,赛事节目类-SP,内容制作-CON,赛事节目类-SP,内容制作-CON,实拍内容制作（包含平面拍摄、视频拍摄等）、后期内容制作（视频剪辑、流内包装制作、大屏包装及特效制作等）、音乐制作,,,,,,,,,,,,,,
业务类,赛事节目类,其他,赛事节目类-SP,其他-OTH,其他服务类-OT,其他-OTH,其他无法定义分类,,,,,,,,,,,,,,
业务类,赛事节目类,礼品采买,赛事节目类-SP,礼品采买-GIF,其他服务类-OT,礼品采买-GIF,礼品采买、礼品定制等,,,,,,,,,,,,,,
业务类,赛事节目类,赛事奖金及补贴,赛事节目类-SP,解说/嘉宾劳务及赛事奖金-TAL,赛事节目类-SP,解说/嘉宾劳务及赛事奖金-TAL,解说/嘉宾劳务及赛事奖金,,,,,,,,,,,,,,
业务类,赛事节目类,版权,赛事节目类-SP,音视频/字体版权采买-LIC,赛事节目类-SP,音频/视频/字体版权采买-LIC,音频版权、视频素材版权、肖像权、字体版权等相关版权采买,,,,,,,,,,,,,,
业务类,赛事节目类,场地租赁,赛事节目类-SP,活动场地及保障服务-EPS,赛事节目类-SP,场地租赁-VEN,体育馆、体育场、影棚等各类场地租赁及相关,,,,,,,,,,,,,,
业务类,赛事节目类,行政制片,赛事节目类-SP,项目后勤保障-PLS,赛事节目类-SP,项目制片及艺人统筹-PPC,因项目产生的餐饮、接驳车辆等后勤保障，艺人后勤统筹等保障服务,,,,,,,,,,,,,,
业务类,赛事节目类,票务服务,赛事节目类-SP,票务服务-TIC,赛事节目类-SP,票务服务-TIC,票务相关服务,,,,,,,,,,,,,,
业务类,商务推广类,广告投放媒介资源,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,KOL推广,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,主播、艺人推广,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,APP广告投放,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,论坛广告投放,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,直播平台推广,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,网媒推广,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,平媒推广,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,手机应用市场推广,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,搜索引擎优化费用,商务推广类-MP,运营及整合营销服务-MKT,营销及公关类-MC,运营及整合营销服务-MKT,社交媒体运营、SEO/SEM优化、内容营销（图文/视频）、整合营销、事件营销、推广运营……,,,,,,,,,,,,,,
业务类,商务推广类,KPI效果维护费用,商务推广类-MP,运营及整合营销服务-MKT,营销及公关类-MC,运营及整合营销服务-MKT,社交媒体运营、SEO/SEM优化、内容营销（图文/视频）、整合营销、事件营销、推广运营……,,,,,,,,,,,,,,
业务类,商务推广类,外包费用,商务推广类-MP,广告与媒介投放-ADV,赛事节目类-SP,赛事/活动策划与整包-EAP,赛事策划及执行整包服务；品牌营销、综艺节目、盛典晚会等策划及整包服务,,,,,,,,,,,,,,
业务类,商务推广类,版权,商务推广类-MP,广告与媒介投放-ADV,其他服务类-OT,商务及IP合作-IPC,商务渠道、IP及授权……,,,,,,,,,,,,,,
业务类,商务推广类,文案创作,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,运营及整合营销服务-MKT,社交媒体运营、SEO/SEM优化、内容营销（图文/视频）、整合营销、事件营销、推广运营……,,,,,,,,,,,,,,
业务类,商务推广类,媒体账号管理,商务推广类-MP,广告与媒介投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
业务类,商务推广类,礼品采买,其他分类-OT,礼品及制作物-OGM,其他服务类-OT,礼品采买-GIF,礼品采买、礼品定制等,,,,,,,,,,,,,,
业务类,商务推广类,数据监测及报告,商务推广类-MP,市场调研及数据分析-RES,营销及公关类-MC,市场调研及数据分析-RES,问卷及调研、竞品分析、行业报告……,,,,,,,,,,,,,,
其他,其他专项分类,会所类,其他分类-OT,会所类-CLU,其他服务类-OT,其他-OTH,其他无法定义分类,会所暂不确定咋放，要不前期的供应商先放其他,可以的,,,,,,,,,,,,
其他,其他专项分类,商务合作,其他分类-OT,商务及IP合作-IPC,其他服务类-OT,商务及IP合作-IPC,商务渠道、IP及授权……,,,,,,,,,,,,,,
其他,其他专项分类,媒体分发,商务推广类-MP,广告与媒体投放-ADV,营销及公关类-MC,广告与媒介投放-ADV,线上广告（搜索/信息流/社交媒体/网媒等）、户外广告（地铁/楼宇/交通）、传统媒体（电视/广播/报纸）、KOL/KOC……,,,,,,,,,,,,,,
